,date,RIVN_close,RIVN_STD
0,2022-03-14 10:05:00,35.47,0.9369639881828327
1,2022-03-14 10:10:00,35.97,0.8960122090618177
2,2022-03-14 10:15:00,35.97,0.829525695073898
3,2022-03-14 10:20:00,35.99,0.7362692606936506
4,2022-03-15 10:20:00,33.95,0.9220026952238008
5,2022-03-15 10:25:00,34.2,0.7025043084090566
6,2022-03-15 10:35:00,34.78,0.42994178640477043
7,2022-03-16 09:50:00,38.93,0.4732131510090399
8,2022-03-16 09:55:00,40.24,0.7562978238823193
9,2022-03-16 10:00:00,40.1701,0.907515731393857
10,2022-03-16 10:05:00,40.07,0.9776174887155478
11,2022-03-16 10:10:00,39.845,0.975320844490187
12,2022-03-16 10:40:00,40.7899,0.7067699696507733
13,2022-03-16 10:45:00,40.58,0.5525022623703957
14,2022-03-16 10:50:00,40.1901,0.35388873444036806
15,2022-03-16 10:55:00,40.06,0.36485334538212993
16,2022-03-16 11:00:00,40.3,0.3598454317799462
17,2022-03-16 14:35:00,38.485,0.5814409537103828
18,2022-03-16 14:45:00,39.89,0.5255695533218293
19,2022-03-16 14:50:00,39.99,0.5231914223970195
20,2022-03-16 14:55:00,40.39,0.5994720714677366
21,2022-03-16 15:00:00,40.41,0.6397685596560414
22,2022-03-16 15:05:00,40.2784,0.688215465016594
23,2022-03-16 15:10:00,40.74,0.7657840297547414
24,2022-03-16 15:15:00,40.92,0.8074132742152166
25,2022-03-16 15:20:00,40.9653,0.861611744278677
26,2022-03-16 15:25:00,40.7362,0.8228372251030682
27,2022-03-16 15:30:00,40.8892,0.7497864642987577
28,2022-03-17 09:55:00,41.54,0.45947388358558394
29,2022-03-17 10:00:00,42.4,0.5773420757440884
30,2022-03-17 10:05:00,42.51,0.6564516596943015
31,2022-03-17 10:10:00,42.535,0.6921325201540512
32,2022-03-17 10:15:00,41.9096,0.6474096356742699
33,2022-03-17 10:20:00,41.43,0.5787483568929733
34,2022-03-17 10:25:00,41.145,0.5608591231859046
35,2022-03-17 10:30:00,41.105,0.5294495655154502
