,date,U_close,U_STD
0,2022-03-14 10:05:00,77.79,0.7913576749466463
1,2022-03-14 10:10:00,78.26,0.7918070051049853
2,2022-03-14 10:15:00,79.03,0.8435863197017079
3,2022-03-14 10:20:00,78.4,0.8435863197017079
4,2022-03-15 10:20:00,76.69,0.9058769859292614
5,2022-03-15 10:25:00,77.52,1.0997294811989404
6,2022-03-15 10:35:00,77.145,1.175821005111106
7,2022-03-16 09:50:00,82.75,0.9275121497199793
8,2022-03-16 09:55:00,83.38,1.1903589985604797
9,2022-03-16 10:00:00,83.12,1.3051541183808952
10,2022-03-16 10:05:00,83.5669,1.4124991169477243
11,2022-03-16 10:10:00,82.58,1.3618177794657362
12,2022-03-16 10:40:00,86.45,1.5871125480653188
13,2022-03-16 10:45:00,85.2809,1.3988357502079036
14,2022-03-16 10:50:00,85.75,1.3537911755395593
15,2022-03-16 10:55:00,85.5786,1.3217243202676388
16,2022-03-16 11:00:00,85.545,1.2258297085001193
17,2022-03-16 14:35:00,82.1494,1.2297773674774886
18,2022-03-16 14:45:00,84.79,1.1722309860026416
19,2022-03-16 14:50:00,84.92,1.125357168756658
20,2022-03-16 14:55:00,85.3926,1.1683963285654955
21,2022-03-16 15:00:00,86.22,1.33551249225492
22,2022-03-16 15:05:00,86.25,1.5254246240426244
23,2022-03-16 15:10:00,86.02,1.617719020438989
24,2022-03-16 15:15:00,86.37,1.6159430060453834
25,2022-03-16 15:20:00,87.06,1.7283241958786721
26,2022-03-16 15:25:00,87.31,1.7168657962762326
27,2022-03-16 15:30:00,87.405,1.6024999230365773
28,2022-03-17 09:55:00,90.2,1.3797526677781584
29,2022-03-17 10:00:00,92.36,1.872427325934842
30,2022-03-17 10:05:00,92.14,2.1466824298306815
31,2022-03-17 10:10:00,92.065,2.3067307230767273
32,2022-03-17 10:15:00,90.4745,2.206042292565814
33,2022-03-17 10:20:00,89.7,2.0212718819672393
34,2022-03-17 10:25:00,90.0963,1.7589318419266344
35,2022-03-17 10:30:00,89.9,1.2960659402642414
36,2022-03-17 10:35:00,89.8,1.2420448731698701
37,2022-03-17 10:40:00,89.81,1.182980524570456
38,2022-03-17 10:45:00,89.2013,1.2295108942229875
39,2022-03-17 10:50:00,89.5,1.1060795807775243
40,2022-03-18 09:40:00,93.94,0.8177055853054117
41,2022-03-18 09:45:00,94.64,1.1674512513332507
42,2022-03-18 09:50:00,95.54,1.536744640760502
43,2022-03-18 09:55:00,95.62,1.7745831776905727
44,2022-03-18 10:00:00,96.15,1.9751614816983083
45,2022-03-18 10:05:00,97.0,2.1744429798741294
46,2022-03-18 10:10:00,97.14,2.2744847901453418
47,2022-03-18 10:15:00,97.4,2.3119077456158785
48,2022-03-18 10:20:00,96.7078,2.1835672739105356
49,2022-03-18 10:25:00,96.6632,1.897040398204583
50,2022-03-18 10:30:00,97.15,1.4473420256064853
51,2022-03-21 09:55:00,93.69,1.0907304856929252
52,2022-03-21 10:00:00,94.61,1.187735542826217
53,2022-03-21 10:05:00,95.0,1.2302909085629756
54,2022-03-21 10:10:00,94.05,1.352988485133886
55,2022-03-21 10:15:00,94.46,1.3876437271980933
56,2022-03-21 10:20:00,93.97,1.4620488814721921
57,2022-03-21 10:55:00,94.81,0.7098510033563513
58,2022-03-21 11:00:00,95.3,0.7792842238307236
59,2022-03-21 11:05:00,95.26,0.8078651018106731
60,2022-03-21 11:10:00,95.65,0.9098337968415117
61,2022-03-21 11:15:00,96.47,1.1034562608881087
62,2022-03-21 11:20:00,96.93,1.2931183679897507
63,2022-03-21 11:25:00,96.78,1.406945972556518
64,2022-03-21 11:30:00,97.105,1.3450821620715887
65,2022-03-22 10:25:00,97.4599,1.3494481984216196
66,2022-03-22 10:30:00,97.265,1.3717812080093172
67,2022-03-22 10:35:00,97.395,1.3418804651113305
68,2022-03-24 10:05:00,97.76,1.6420554262029803
69,2022-03-24 10:10:00,97.035,1.645369305508833
70,2022-03-24 10:15:00,96.82,1.5621015855673224
71,2022-03-24 10:20:00,95.735,1.5572228461013358
72,2022-03-24 10:25:00,96.0,1.2714602527166403
73,2022-03-24 10:30:00,95.955,0.9093716611912769
74,2022-03-24 10:35:00,96.31,0.8181409080657001
75,2022-03-24 10:40:00,96.2405,0.7827011927888149
76,2022-03-25 10:00:00,96.8399,1.286050174657886
77,2022-03-25 10:05:00,95.842,1.4970317136713116
78,2022-03-25 10:10:00,95.35,1.6244790748006075
79,2022-03-25 10:15:00,94.55,1.7959280898351917
80,2022-03-25 10:20:00,94.04,1.9120580394651818
81,2022-03-25 10:25:00,94.21,1.8678601979299265
82,2022-03-25 10:30:00,93.95,1.7409638764233253
83,2022-03-28 09:55:00,97.25,1.329653971617576
84,2022-03-28 10:00:00,96.99,1.313105739930465
85,2022-03-28 10:05:00,95.32,1.2469570790390456
86,2022-03-28 10:10:00,95.315,1.1445379685755388
87,2022-03-28 10:15:00,95.31,1.0861968638168478
88,2022-03-29 10:00:00,102.39,1.1890429178968425
89,2022-03-30 10:25:00,104.3,0.7431150289704439
90,2022-03-30 11:00:00,104.96,1.04961886415667
91,2022-03-30 11:05:00,104.43,1.0060999871960743
92,2022-03-30 11:10:00,103.425,0.7856921463151911
93,2022-04-01 10:05:00,98.33,1.6286255076714562
94,2022-04-01 10:10:00,98.9701,1.535230296092796
95,2022-04-01 10:15:00,99.47,1.4871464086730206
96,2022-04-04 10:10:00,105.5525,2.5475987882072855
97,2022-04-04 10:15:00,105.845,2.330215761419075
98,2022-04-04 10:20:00,105.69,2.0250806040057268
99,2022-04-04 10:25:00,106.15,1.6757921504494078
100,2022-04-05 09:55:00,106.7194,0.8339542053266115
101,2022-04-05 10:00:00,108.76,0.8314211974029783
102,2022-04-05 10:05:00,108.0,0.8352092796565056
103,2022-04-05 10:10:00,105.78,1.139416315849668
104,2022-04-05 10:15:00,106.05,1.3094483553657155
105,2022-04-05 10:20:00,105.68,1.4813927961827675
106,2022-04-05 10:25:00,106.39,1.524566875673371
107,2022-04-05 10:30:00,106.18,1.5859820227803165
108,2022-04-05 10:35:00,106.02,1.5138902398789247
109,2022-04-05 10:40:00,105.43,1.3613986761307424
110,2022-04-05 10:45:00,104.711,1.3565998163828885
111,2022-04-05 10:50:00,104.68,1.1955218467483875
112,2022-04-05 10:55:00,105.23,1.2138728747495473
113,2022-04-06 10:00:00,92.495,2.541982249821134
114,2022-04-06 10:05:00,93.26,2.589773284960822
115,2022-04-06 10:10:00,93.08,2.5322940014779425
