time,open,high,low,close,volume
2022-04-08 20:00:00,106.5,106.5,106.3,106.3,600
2022-04-08 19:00:00,106.3,106.3,106.3,106.3,200
2022-04-08 17:00:00,106.42,106.6,106.3004,106.46,15079
2022-04-08 16:00:00,106.63,107.53,106.03,106.46,584228
2022-04-08 15:00:00,106.46,106.74,105.31,106.63,350676
2022-04-08 14:00:00,108.0,108.075,106.21,106.465,382024
2022-04-08 13:00:00,108.05,108.9,107.42,108.0,530382
2022-04-08 12:00:00,108.48,109.0,106.88,107.965,425536
2022-04-08 11:00:00,106.78,111.88,105.83,108.6,447567
2022-04-08 10:00:00,110.066,110.96,106.89,106.89,387612
2022-04-08 09:00:00,112.77,113.16,111.0,111.7419,8330
2022-04-08 08:00:00,111.01,111.01,111.01,111.01,1000
2022-04-08 07:00:00,110.8,110.8,110.8,110.8,300
2022-04-07 19:00:00,110.9,110.9,110.9,110.9,184
2022-04-07 18:00:00,110.0007,110.9,110.0,110.9,553
2022-04-07 17:00:00,110.91,111.0,110.0,110.9001,13114
2022-04-07 16:00:00,110.86,111.79,110.3,110.91,562121
2022-04-07 15:00:00,108.665,111.09,107.7601,110.955,326633
2022-04-07 14:00:00,107.92,109.61,107.89,108.63,834192
2022-04-07 13:00:00,109.055,109.52,107.28,107.96,378277
2022-04-07 12:00:00,111.45,112.63,108.67,108.955,417028
2022-04-07 11:00:00,115.045,116.18,111.13,111.42,594178
2022-04-07 10:00:00,112.5,116.15,112.5,115.045,431048
2022-04-07 09:00:00,114.22,114.22,113.8,113.8,979
2022-04-07 08:00:00,114.44,114.44,114.44,114.44,300
2022-04-06 20:00:00,113.46,113.46,113.46,113.46,140
2022-04-06 19:00:00,113.45,113.45,113.45,113.45,148
2022-04-06 18:00:00,113.6,113.6,112.36,112.36,1874
2022-04-06 17:00:00,113.6,114.11,113.27,113.3,30220
2022-04-06 16:00:00,114.605,114.88,112.65,113.68,522100
2022-04-06 15:00:00,113.0,114.74,109.73,114.65,435832
2022-04-06 14:00:00,110.28,113.83,110.25,112.885,512217
2022-04-06 13:00:00,109.915,110.8,109.01,110.31,356477
2022-04-06 12:00:00,108.645,110.8,108.56,109.88,353203
2022-04-06 11:00:00,108.575,110.525,106.59,108.565,836198
2022-04-06 10:00:00,114.7,115.66,108.5,108.52,775758
2022-04-06 09:00:00,114.0018,116.12,114.0007,114.66,6514
2022-04-06 08:00:00,116.96,116.96,114.02,114.02,422
2022-04-05 20:00:00,118.25,118.25,118.15,118.2,2349
2022-04-05 19:00:00,118.11,118.11,118.11,118.11,100
2022-04-05 18:00:00,118.4001,118.4002,118.4,118.4,1023
2022-04-05 17:00:00,118.2,118.69,118.12,118.69,547170
2022-04-05 16:00:00,118.15,118.97,116.82,118.25,867453
2022-04-05 15:00:00,120.315,120.32,118.05,118.1,362443
2022-04-05 14:00:00,118.4,120.34,117.77,120.3,435027
2022-04-05 13:00:00,118.87,118.92,115.7,118.3999,567063
2022-04-05 12:00:00,120.5027,120.66,118.44,118.8,620944
2022-04-05 11:00:00,125.93,126.1,120.1,120.495,821617
2022-04-05 10:00:00,126.35,127.96,123.73,125.925,293892
2022-04-05 09:00:00,126.25,126.25,126.01,126.17,1188
2022-04-05 08:00:00,127.2,127.2,127.2,127.2,337
2022-04-04 19:00:00,127.18,127.2,127.11,127.11,2555
2022-04-04 17:00:00,127.21,127.866,127.05,127.866,41609
2022-04-04 16:00:00,129.925,130.0,126.93,127.29,603916
2022-04-04 15:00:00,128.45,130.2,128.18,129.88,529149
2022-04-04 14:00:00,129.1,129.59,128.3,128.525,260941
2022-04-04 13:00:00,127.72,129.71,127.7012,129.0,359508
2022-04-04 12:00:00,127.65,128.58,126.96,127.7101,432849
2022-04-04 11:00:00,126.84,128.5,126.05,127.52,667395
2022-04-04 10:00:00,121.89,126.92,120.9,126.735,592579
2022-04-04 09:00:00,123.5,124.96,122.0,122.0,6079
2022-04-04 08:00:00,123.65,123.65,123.01,123.5,588
2022-04-04 05:00:00,123.0,125.0,123.0,125.0,1885
2022-04-01 20:00:00,120.7,120.7,120.7,120.7,102
2022-04-01 19:00:00,120.55,120.89,120.54,120.89,570
2022-04-01 18:00:00,120.5328,120.5328,120.5105,120.5105,300
2022-04-01 17:00:00,120.9,120.9,120.51,120.51,14383
2022-04-01 16:00:00,119.84,120.94,118.75,120.93,545802
2022-04-01 15:00:00,118.71,120.28,118.29,119.905,193160
2022-04-01 14:00:00,119.13,119.2752,117.545,118.7211,205204
2022-04-01 13:00:00,119.59,119.81,118.6257,119.17,191661
2022-04-01 12:00:00,120.595,121.51,119.38,119.59,262990
2022-04-01 11:00:00,119.89,121.97,119.0,120.61,606731
2022-04-01 10:00:00,118.7,120.92,117.19,119.84,455684
2022-04-01 09:00:00,119.985,119.985,118.0,118.01,6769
2022-04-01 08:00:00,119.8,119.8,119.11,119.11,1020
2022-04-01 07:00:00,119.1,120.0,119.0,120.0,1773
2022-03-31 19:00:00,117.1,117.1,117.1,117.1,250
2022-03-31 18:00:00,117.1902,118.2894,117.05,118.2894,1603
2022-03-31 17:00:00,117.0,117.19,116.05,116.05,49969
2022-03-31 16:00:00,118.425,118.79,117.09,117.1,507845
2022-03-31 15:00:00,117.93,118.6,117.23,118.37,234651
2022-03-31 14:00:00,118.165,119.36,117.66,117.91,254924
2022-03-31 13:00:00,117.87,118.48,116.66,118.16,195113
2022-03-31 12:00:00,119.24,119.245,117.01,117.78,266573
2022-03-31 11:00:00,118.59,119.45,116.03,119.29,613591
2022-03-31 10:00:00,118.6,120.3193,115.26,118.6,361390
2022-03-31 09:00:00,118.9,118.9,118.08,118.3911,304370
2022-03-31 08:00:00,119.0,119.0,118.8,118.8,958
2022-03-31 07:00:00,119.11,119.11,119.11,119.11,282
2022-03-30 20:00:00,118.75,119.2,118.75,118.75,3160
2022-03-30 19:00:00,118.65,118.65,118.65,118.65,100
2022-03-30 18:00:00,118.69,118.998,118.5,118.5,780
2022-03-30 17:00:00,118.23,119.0,118.22,118.99,7814
2022-03-30 16:00:00,115.66,118.23,113.4,118.23,2046274
2022-03-30 15:00:00,117.94,118.2,115.52,115.62,1253008
2022-03-30 14:00:00,121.95,122.15,117.89,117.98,653006
2022-03-30 13:00:00,122.2,123.57,121.42,121.92,493229
2022-03-30 12:00:00,124.42,124.42,121.33,122.31,804633
2022-03-30 11:00:00,122.64,129.24,121.29,124.45,918914
2022-03-30 10:00:00,122.5,126.61,121.12,122.58,636398
2022-03-30 09:00:00,121.78,123.52,121.78,122.3,281692
2022-03-30 08:00:00,123.51,123.51,122.48,123.0,1767
2022-03-30 07:00:00,123.14,123.14,123.14,123.14,150
2022-03-29 20:00:00,123.45,123.55,123.45,123.45,2240
2022-03-29 19:00:00,123.46,123.46,123.46,123.46,800
2022-03-29 18:00:00,123.35,123.4594,123.02,123.4,3540
2022-03-29 17:00:00,123.55,123.8,123.0,123.0,27475
2022-03-29 16:00:00,123.77,125.11,123.11,123.52,1510794
2022-03-29 15:00:00,120.98,123.88,120.9397,123.755,534528
2022-03-29 14:00:00,119.81,121.09,119.12,120.89,654801
2022-03-29 13:00:00,119.81,120.09,118.35,119.8515,420983
2022-03-29 12:00:00,118.51,120.14,118.0201,119.756,471745
2022-03-29 11:00:00,117.67,118.85,115.46,118.3716,643076
2022-03-29 10:00:00,116.65,120.925,116.0,117.795,961068
2022-03-29 09:00:00,115.5,116.97,115.25,116.65,5853
2022-03-29 08:00:00,115.25,115.65,115.25,115.65,4475
2022-03-29 07:00:00,114.7,114.7,114.7,114.7,294
2022-03-28 18:00:00,114.0,114.0,114.0,114.0,459
2022-03-28 17:00:00,114.05,114.43,113.3,113.65,15137
2022-03-28 16:00:00,112.97,115.11,112.645,114.42,963002
2022-03-28 15:00:00,111.015,113.0,110.4926,113.0,356668
2022-03-28 14:00:00,109.185,112.05,109.15,111.0752,500664
2022-03-28 13:00:00,108.88,109.18,107.65,109.12,206404
2022-03-28 12:00:00,108.04,109.15,106.68,108.825,300794
2022-03-28 11:00:00,108.22,108.22,105.74,107.9301,383331
2022-03-28 10:00:00,105.32,109.86,104.86,108.3919,364057
2022-03-28 09:00:00,105.51,107.5683,105.51,105.75,14821
2022-03-28 07:00:00,105.34,105.34,105.3,105.3,284
2022-03-25 20:00:00,105.81,106.45,105.8,106.01,3716
2022-03-25 19:00:00,105.78,105.8,105.61,105.61,590
2022-03-25 18:00:00,105.5,105.8,105.5,105.8,3207
2022-03-25 17:00:00,105.29,105.5,105.15,105.2205,5028
2022-03-25 16:00:00,106.14,106.14,104.44,105.31,1323200
2022-03-25 15:00:00,107.37,107.37,105.605,106.06,412288
2022-03-25 14:00:00,104.93,107.35,104.4,107.3106,600108
2022-03-25 13:00:00,106.58,106.714,104.17,104.89,777313
2022-03-25 12:00:00,109.015,109.1,106.37,106.58,732643
2022-03-25 11:00:00,110.8,111.05,107.88,109.015,1288553
2022-03-25 10:00:00,114.15,114.15,110.2701,110.67,439835
2022-03-25 09:00:00,114.5,115.16,114.0,114.0,1250
2022-03-24 20:00:00,114.6,114.6,114.6,114.6,100
2022-03-24 19:00:00,115.0,115.0,114.88,114.88,201
2022-03-24 18:00:00,114.8,114.8,114.5,114.5,890
2022-03-24 17:00:00,114.88,114.88,114.3,114.3,3142
2022-03-24 16:00:00,114.37,115.66,114.01,114.88,581336
2022-03-24 15:00:00,114.35,114.5,112.47,114.34,351028
2022-03-24 14:00:00,113.7768,114.82,113.71,114.27,280623
2022-03-24 13:00:00,113.46,114.63,112.31,113.78,218528
2022-03-24 12:00:00,111.7499,114.1,111.42,113.52,298737
2022-03-24 11:00:00,110.5,112.4899,108.59,111.63,658245
2022-03-24 10:00:00,114.45,115.37,110.22,110.61,345817
2022-03-24 09:00:00,115.0,115.98,114.01,114.01,610
2022-03-24 08:00:00,114.88,115.8,114.84,115.8,1091
2022-03-23 20:00:00,114.2,114.2,114.2,114.2,100
2022-03-23 19:00:00,114.5,114.5,114.33,114.33,200
2022-03-23 18:00:00,114.2,114.6,114.2,114.4,1025
2022-03-23 17:00:00,114.34,114.34,113.25,114.34,12622
2022-03-23 16:00:00,113.485,114.5,113.28,114.34,725897
2022-03-23 15:00:00,113.01,114.4889,111.52,113.46,445865
2022-03-23 14:00:00,114.42,114.885,112.575,113.04,440198
2022-03-23 13:00:00,115.99,116.69,113.7642,114.47,535193
2022-03-23 12:00:00,112.71,116.81,112.675,115.97,453730
2022-03-23 11:00:00,108.58,113.61,108.14,112.73,570679
2022-03-23 10:00:00,109.56,110.265,107.1636,108.76,255601
2022-03-23 09:00:00,110.342,110.342,109.3,109.7,1198
2022-03-23 08:00:00,110.26,110.26,109.8,109.8,1769
2022-03-22 17:00:00,111.25,111.25,110.25,111.25,13823
2022-03-22 16:00:00,112.39,112.55,111.1214,111.29,679285
2022-03-22 15:00:00,110.9499,112.82,110.65,112.36,527684
2022-03-22 14:00:00,109.86,110.9,109.5,110.855,207822
2022-03-22 13:00:00,110.31,110.93,109.39,109.94,232336
2022-03-22 12:00:00,109.85,111.82,109.45,110.46,464875
2022-03-22 11:00:00,107.8,111.35,107.79,109.752,749060
2022-03-22 10:00:00,106.9,109.4,105.19,107.73,382653
2022-03-22 09:00:00,109.4859,109.4859,106.0,106.06,14379
2022-03-21 20:00:00,107.48,107.48,107.0,107.0,2765
2022-03-21 17:00:00,107.1,108.1,107.1,108.1,11141
2022-03-21 16:00:00,106.34,108.4,106.3,107.05,1097000
2022-03-21 15:00:00,106.78,107.815,106.055,106.4,752802
2022-03-21 14:00:00,106.03,106.87,104.29,106.87,606273
2022-03-21 13:00:00,106.57,108.245,105.25,106.03,516341
2022-03-21 12:00:00,106.97,108.2899,106.21,106.57,550293
2022-03-21 11:00:00,104.4708,107.33,102.37,107.04,833925
2022-03-21 10:00:00,106.47,106.87,102.69,104.21,823738
2022-03-21 09:00:00,106.63,106.63,105.5,105.5,1574
2022-03-21 08:00:00,105.78,106.98,105.0,106.63,3440
2022-03-21 07:00:00,105.79,105.79,105.79,105.79,400
2022-03-21 06:00:00,105.73,105.73,105.73,105.73,130
2022-03-18 20:00:00,106.97,107.5,106.97,107.5,1510
2022-03-18 19:00:00,107.1,107.3,106.85,106.85,1948
2022-03-18 18:00:00,107.3,107.3,107.1,107.3,3015
2022-03-18 17:00:00,107.29,107.5,106.5082,107.1,77016
2022-03-18 16:00:00,104.88,107.56,104.27,107.5,1720104
2022-03-18 15:00:00,106.2,106.5,103.74,104.825,457148
2022-03-18 14:00:00,106.31,106.62,105.0901,106.11,475442
2022-03-18 13:00:00,105.0,107.11,104.64,106.23,489463
2022-03-18 12:00:00,102.61,105.68,102.34,104.935,1012206
2022-03-18 11:00:00,103.4,106.35,100.91,102.635,1373243
2022-03-18 10:00:00,95.1,103.56,95.1,103.305,1108381
2022-03-18 09:00:00,94.84,94.84,94.84,94.84,225
2022-03-18 08:00:00,95.01,95.01,95.01,95.01,252
2022-03-18 06:00:00,96.0,96.0,96.0,96.0,3690
2022-03-18 05:00:00,95.54,96.03,95.54,96.0,6695
2022-03-17 20:00:00,95.25,95.25,95.0,95.0001,630
2022-03-17 19:00:00,95.6,95.6,95.0,95.0,2400
2022-03-17 18:00:00,95.0,95.6,95.0,95.55,1497
2022-03-17 17:00:00,96.09,96.09,94.022,95.0,11696
2022-03-17 16:00:00,96.32,96.825,95.09,96.03,1129458
2022-03-17 15:00:00,95.27,96.34,94.82,96.33,569914
2022-03-17 14:00:00,93.79,95.72,93.245,95.285,614206
2022-03-17 13:00:00,90.9063,93.88,90.2736,93.79,493038
2022-03-17 12:00:00,90.75,92.17,90.15,90.87,536221
2022-03-17 11:00:00,94.6,95.6,90.55,90.76,694725
2022-03-17 10:00:00,89.9796,94.6,87.88,94.59,368485
2022-03-17 09:00:00,90.0,90.06,89.45,89.4507,5118
2022-03-17 08:00:00,90.0,90.0,90.0,90.0,358
2022-03-17 07:00:00,87.1,87.1,87.1,87.1,120
2022-03-17 06:00:00,88.5,88.5,88.5,88.5,500
2022-03-16 20:00:00,90.5,90.75,90.4,90.75,625
2022-03-16 19:00:00,90.5999,90.5999,90.5999,90.5999,100
2022-03-16 18:00:00,90.5,90.5,90.05,90.05,1329
2022-03-16 17:00:00,90.5,91.02,90.02,91.0,35848
2022-03-16 16:00:00,89.4,90.78,88.93,90.51,1028732
2022-03-16 15:00:00,88.29,89.72,84.63,89.37,923105
2022-03-16 14:00:00,88.235,88.54,86.68,88.34,365973
2022-03-16 13:00:00,89.3,89.97,87.935,88.2,504130
2022-03-16 12:00:00,87.98,89.51,87.37,89.32,738641
2022-03-16 11:00:00,88.58,89.36,85.61,87.92,678792
2022-03-16 10:00:00,82.4,89.4,82.38,88.45,1104359
2022-03-16 09:00:00,82.885,83.4599,81.67,82.99,14775
2022-03-16 08:00:00,81.72,81.72,81.7,81.7,908
2022-03-16 05:00:00,80.15,80.15,80.15,80.15,111
2022-03-15 20:00:00,79.7,79.71,79.7,79.7,537
2022-03-15 19:00:00,79.65,79.65,79.65,79.65,1000
2022-03-15 18:00:00,79.7399,79.7399,79.05,79.05,235
2022-03-15 17:00:00,79.77,79.77,79.01,79.02,8110
2022-03-15 16:00:00,77.84,79.95,77.76,79.76,1329118
2022-03-15 15:00:00,77.49,78.14,76.855,77.84,651456
2022-03-15 14:00:00,78.04,78.9,77.1316,77.515,537019
2022-03-15 13:00:00,77.96,78.445,77.645,77.98,348195
2022-03-15 12:00:00,79.24,79.95,77.41,77.91,737831
2022-03-15 11:00:00,78.3899,80.77,77.52,79.09,1244492
2022-03-15 10:00:00,76.6,79.35,76.0,78.285,1019749
2022-03-15 09:00:00,76.05,77.34,76.05,76.9,15908
2022-03-15 08:00:00,76.28,76.69,76.28,76.69,600
2022-03-15 07:00:00,75.98,76.0,75.98,76.0,1272
2022-03-15 05:00:00,76.06,76.06,76.06,76.06,127
2022-03-14 20:00:00,76.25,76.3,76.25,76.25,3348
2022-03-14 19:00:00,76.24,76.4,76.24,76.25,1199
2022-03-14 18:00:00,76.3,76.3,76.0,76.0,9523
2022-03-14 17:00:00,76.06,76.54,76.06,76.54,2552
2022-03-14 16:00:00,76.29,76.71,75.22,76.06,1641694
2022-03-14 15:00:00,75.165,76.44,74.8401,76.29,1250785
2022-03-14 14:00:00,76.165,76.35,74.3201,75.24,1191920
2022-03-14 13:00:00,78.89,78.94,76.175,76.18,1216133
2022-03-14 12:00:00,82.41,82.63,78.9,78.9203,974275
